url	company	role	tier	reason
https://ca.indeed.com/viewjob?jk=eb805fa57b14fdd4	JOBBER	Manager, Software Engineering -SP Operations | Vancouver, BC, CA	archetype	archetype mismatch: management role
https://www.linkedin.com/jobs/view/4399583667	Workday	Sr Software Developer in Test (SDET) - Evisort | Vancouver, British Columbia, Canada	HIGH BG	HIGH BG risk: Workday (AI lab / fintech / large public US tech per BG policy)
https://www.linkedin.com/jobs/view/4355315795	Workday	Software Engineer III/Senior Software Engineer (Full Stack) | Vancouver, British Columbia, Canada	HIGH BG	HIGH BG risk: Workday (AI lab / fintech / large public US tech per BG policy)
https://ca.indeed.com/viewjob?jk=b443dfc9fb30a0b7	VersaFile Inc.	Software Engineer, New Grad - Full Stack (Remote) | Vancouver, BC, CA	hard_no	hard_no: junior/mid title
https://www.linkedin.com/jobs/view/4380213158	Workday	Software Development Engineer (Full Stack) | Vancouver, British Columbia, Canada	HIGH BG	HIGH BG risk: Workday (AI lab / fintech / large public US tech per BG policy)
https://www.linkedin.com/jobs/view/4387518861	Workday	Software Development Engineer (Full Stack) | Vancouver, British Columbia, Canada	HIGH BG	HIGH BG risk: Workday (AI lab / fintech / large public US tech per BG policy)
https://www.linkedin.com/jobs/view/4410057907	Agoda	Principal Engineer, Back End (Data Engineer) (Bangkok based, Relocation provided) | Vancouver, British Columbia, Canada	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=98a2e7e9949fa1f0	nan	Software Engineer — Full-Stack, Workflows & Public Sector Applications | US	HARD STOP	HARD STOP: clearance-bound role per BG policy
https://www.indeed.com/viewjob?jk=0ec6fb85dd76c411	DNS Solutions Inc.	Senior Data Engineer (APIs for Data Platform) 100% REMOTE | Remote, US	archetype	archetype mismatch: data engineering
https://www.indeed.com/viewjob?jk=213bef440b83dddd	Renesas	Sr. QA Engineer | Los Angeles, CA, US	archetype	archetype mismatch: QA
