url	company	role
https://job-boards.eu.greenhouse.io/parloa/jobs/4843556101	Parloa	Software Engineer, GTM
https://job-boards.eu.greenhouse.io/parloa/jobs/4824273101	Parloa	Staff/Principal Software Engineer
https://boards.greenhouse.io/faire/jobs/8437749002?gh_jid=8437749002	Faire	Backend Engineer
https://boards.greenhouse.io/faire/jobs/8532124002?gh_jid=8532124002	Faire	Senior Fullstack Ads Engineer
https://boards.greenhouse.io/faire/jobs/8465041002?gh_jid=8465041002	Faire	Senior Growth Platform Engineer
https://boards.greenhouse.io/faire/jobs/8523771002?gh_jid=8523771002	Faire	Staff Backend Engineer - Search FX (Discovery Experience)
https://jobs.ashbyhq.com/vapi/d270d613-30b8-4fdc-96e0-514993ca7a82	Vapi	Member of Technical Staff, Backend
https://jobs.ashbyhq.com/vapi/295f5269-1bb5-4740-81fa-9716adc32ad5	Vapi	Member of Technical Staff, Infrastructure
https://jobs.ashbyhq.com/vapi/8c4b886d-da0a-4895-b025-83e35a3ce756	Vapi	Member of Technical Staff, Product
https://jobs.ashbyhq.com/deepgram/68372d7d-b7a9-439e-a0a7-76690576aba4	Deepgram	Software Engineer - Deepgram for Restaurants
https://jobs.ashbyhq.com/deepgram/7c7064bb-2bf0-4f64-81cc-14afe79a15c1	Deepgram	Backend Software Engineer - Engine Team (Voice Agent)
https://jobs.ashbyhq.com/deepgram/4a873ede-8555-42ae-9ddc-ac89afdd7278	Deepgram	Software Engineer, Voice Agents / AI - Deepgram for Restaurants
https://jobs.ashbyhq.com/deepgram/378e83b4-28c0-4b4e-8cf0-9355712bd06d	Deepgram	Billing & Analytics Software Engineer
https://job-boards.eu.greenhouse.io/polyai/jobs/4658649101	PolyAI	Senior Full Stack Engineer  (Must be based in UK)
https://job-boards.eu.greenhouse.io/polyai/jobs/4853250101	PolyAI	Senior Platform Software Engineer
https://job-boards.greenhouse.io/humeai/jobs/5064248008	Hume AI	Senior Platform Engineer
https://job-boards.greenhouse.io/airtable/jobs/8442397002	Airtable	Software Engineer, Compute (8+ YOE)
